Imagem,Real,Detectado,Erro
CoinsBlue1.jpeg,10,7,3
CoinsBlue10.jpeg,7,7,0
CoinsBlue11.jpeg,1,1,0
CoinsBlue12.jpeg,3,3,0
CoinsBlue13.jpeg,2,2,0
CoinsBlue14.jpeg,2,2,0
CoinsBlue15.jpeg,3,3,0
CoinsBlue16.jpeg,3,3,0
CoinsBlue17.jpeg,3,3,0
CoinsBlue18.jpeg,10,10,0
CoinsBlue19.jpeg,10,10,0
CoinsBlue2.jpeg,7,7,0
CoinsBlue20.jpeg,10,10,0
CoinsBlue21.jpeg,5,5,0
CoinsBlue22.jpeg,5,5,0
CoinsBlue23.jpeg,5,5,0
CoinsBlue24.jpeg,0,5,5
CoinsBlue25.jpeg,0,5,5
CoinsBlue26.jpeg,0,5,5
CoinsBlue27.jpeg,0,5,5
CoinsBlue28.jpeg,0,5,5
CoinsBlue29.jpeg,0,5,5
CoinsBlue3.jpeg,5,7,2
CoinsBlue30.jpeg,0,2,2
CoinsBlue4.jpeg,3,7,4
CoinsBlue5.jpeg,2,7,5
CoinsBlue6.jpeg,4,7,3
CoinsBlue7.jpeg,6,7,1
CoinsBlue8.jpeg,7,7,0
CoinsBlue9.jpeg,7,7,0
